epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,178.803,1.10978,1.32616,0.97613,0.02768,0.2129,0.0666,0.02543,1.92003,3.55087,1.48455,0.000172436,0.000172436,0.000172436
89,181.063,1.40377,1.71819,1.1107,0.02768,0.2129,0.0666,0.02543,1.92003,3.55087,1.48455,0.000161969,0.000161969,0.000161969
90,183.351,1.25138,1.59451,0.99232,0.02768,0.2129,0.0666,0.02543,1.92003,3.55087,1.48455,0.000151218,0.000151218,0.000151218
91,185.75,1.34114,1.5501,0.92956,0.02768,0.2129,0.0666,0.02543,1.92003,3.55087,1.48455,0.000140185,0.000140185,0.000140185
92,188.282,1.13638,1.35495,0.97808,0.02433,0.2028,0.06316,0.02473,1.93142,3.53045,1.47134,0.000128869,0.000128869,0.000128869
93,190.604,1.27103,1.46069,1.06179,0.02433,0.2028,0.06316,0.02473,1.93142,3.53045,1.47134,0.000117269,0.000117269,0.000117269
94,192.872,1.26097,1.43986,1.04041,0.02433,0.2028,0.06316,0.02473,1.93142,3.53045,1.47134,0.000105387,0.000105387,0.000105387
95,195.261,1.15997,1.37741,1.03418,0.02433,0.2028,0.06316,0.02473,1.93142,3.53045,1.47134,9.32222e-05,9.32222e-05,9.32222e-05
96,197.512,1.10591,1.30874,0.92331,0.02821,0.31391,0.08891,0.03634,1.97122,3.49675,1.50002,8.07742e-05,8.07742e-05,8.07742e-05
97,199.737,1.17581,1.45107,0.98432,0.02821,0.31391,0.08891,0.03634,1.97122,3.49675,1.50002,6.80433e-05,6.80433e-05,6.80433e-05
98,201.906,1.1194,1.28917,1.01508,0.02821,0.31391,0.08891,0.03634,1.97122,3.49675,1.50002,5.50294e-05,5.50294e-05,5.50294e-05
99,204.174,1.22597,1.4945,1.06155,0.02821,0.31391,0.08891,0.03634,1.97122,3.49675,1.50002,4.17325e-05,4.17325e-05,4.17325e-05
100,206.557,1.115,1.30089,0.94494,0.03571,0.43512,0.11338,0.04927,1.98299,3.46451,1.49859,2.81527e-05,2.81527e-05,2.81527e-05
